Binomial,Year,cwl,Body_mass.g.,Bill_width.mm.,Longitude_decimal_degrees,Latitude_decimal_degrees
Trichothraupis_melanops,2014,78.54,25.33,7.93,-48.34105,-25.14759
Trichothraupis_melanops,2016,86,25,8.5,-49.076722,-22.775
Trichothraupis_melanops,2016,83,17,,-49.672487,-22.37698
Trichothraupis_melanops,2012,76,23.5,,-49.405145,-28.599546
Trichothraupis_melanops,2012,82,42.5,,-49.405145,-28.599546
Trichothraupis_melanops,2003,76.8,25,,-48.541493,-25.587558
Trichothraupis_melanops,2006,80,24.5,,-47.81,-23.95
Trichothraupis_melanops,2014,76.13,24.81,7.29,-48.34105,-25.14759
Trichothraupis_melanops,2016,85.4,25,,-48.541493,-25.587558
Trichothraupis_melanops,1999,80,22,,-47.841667,-21.971667
Trichothraupis_melanops,2007,82,22,6.9,-49.308679,-25.42167
Trichothraupis_melanops,2014,80.23,23.18,6.92,-48.34105,-25.14759
Trichothraupis_melanops,2015,80,23.5,,-46.457653,-23.876918
Trichothraupis_melanops,2012,84.3,24,,-48.541493,-25.587558
Trichothraupis_melanops,2008,86,22,5.04,-48.054843,-20.091019
Trichothraupis_melanops,2012,83,20,,-50.6967,-24.1431
Trichothraupis_melanops,1999,,23.5,,-48.364722,-24.304722
Trichothraupis_melanops,2012,,19,,-50.6967,-24.1431
Trichothraupis_melanops,2005,82,21,,-43.787333,-22.370933
Trichothraupis_melanops,1999,84,21,,-47.841667,-21.971667
Trichothraupis_melanops,2005,85,21,,-45.982,-23.633
Trichothraupis_melanops,2014,81.82,25.74,6.96,-48.34105,-25.14759
Trichothraupis_melanops,2003,85,27,9.6,-42.38333,-22.5
Trichothraupis_melanops,2006,,,,-47.480381,-23.876407
Trichothraupis_melanops,2017,80,21,8.8,-49.398056,-22.530694
Trichothraupis_melanops,2006,77.1,40,,-47,-23.833333
Trichothraupis_melanops,2006,,22.5,,-47.443783,-23.867903
Trichothraupis_melanops,2006,,21,6.5,-51.94695,-23.866923
Trichothraupis_melanops,2012,,23,8.7,-47.949986,-24.16386
Trichothraupis_melanops,2007,84,21,5.8,-48.054843,-20.091019
Trichothraupis_melanops,2006,,22,,-47.480381,-23.876407
Trichothraupis_melanops,2007,85.8,22,,-47,-23.833333
Trichothraupis_melanops,2008,83.8,,,-48.541493,-25.587558
Trichothraupis_melanops,2017,,,,-47.198404,-24.045634
Trichothraupis_melanops,1996,83,24,,-44.202778,-23.175
Trichothraupis_melanops,2000,,26,7.5,-48.364722,-24.304722
Trichothraupis_melanops,2006,,21.5,,-47.449187,-23.854583
Trichothraupis_melanops,2005,79.9,24,,-46.400954,-23.843052
Trichothraupis_melanops,2005,80.1,,,-46.400954,-23.843052
Trichothraupis_melanops,2004,73,24,,-48.541493,-25.587558
Trichothraupis_melanops,2001,83.4,24,,-48.474789,-27.585696
Trichothraupis_melanops,2015,75,23,9.4,-41.02029722,-20.39838889
Trichothraupis_melanops,2015,82,19,,-54.487792,-25.619635
Trichothraupis_melanops,2017,82,,,-47.245302,-24.06865
Trichothraupis_melanops,2010,86,21,,-48.433333,-23.266667
Trichothraupis_melanops,2006,,24.5,,-47.446516,-23.833638
Trichothraupis_melanops,2000,,20,,-48.416666,-24.316666
Trichothraupis_melanops,2006,,24,,-47.446516,-23.833638
Trichothraupis_melanops,2012,83,19,10.4,-50.6967,-24.1431
Trichothraupis_melanops,2001,89.6,26,10.4,-48.810668,-27.73223
Trichothraupis_melanops,2012,85,25,,-49.403256,-28.600583
Trichothraupis_melanops,2008,77,22,6.2,-48.054843,-20.091019
Trichothraupis_melanops,2012,76,21,8.7,-50.6967,-24.1431
Trichothraupis_melanops,2016,84,22,8.5,-49.076722,-22.775
Trichothraupis_melanops,2006,86,23.5,,-45.982,-23.633
Trichothraupis_melanops,2001,,28,,-48.40777778,-24.278333
Trichothraupis_melanops,2006,,24,,-47.446516,-23.833638
Trichothraupis_melanops,2010,85,,,-46.016667,-23.033333
Trichothraupis_melanops,2008,82,26,,-48.541493,-25.587558
Trichothraupis_melanops,2012,80.5,20,,-54.487792,-25.619635
Trichothraupis_melanops,2012,84,27,,-49.405145,-28.599546
Trichothraupis_melanops,2013,80,26,,-49.405145,-28.599546
Trichothraupis_melanops,2005,79,23.5,,-46.400954,-23.843052
Trichothraupis_melanops,2017,81.2,25,,-48.541493,-25.587558
Trichothraupis_melanops,1999,83,23,,-47.841667,-21.971667
Trichothraupis_melanops,2014,76,23,,-50.6967,-24.1431
Trichothraupis_melanops,2014,77.3,23,,-54.487792,-25.619635
Trichothraupis_melanops,1996,85,24,6.8,-44.204194,-23.183073
Trichothraupis_melanops,1999,84,23,,-47.841667,-21.971667
Trichothraupis_melanops,2000,,24,9,-48.416666,-24.316666
Trichothraupis_melanops,2013,83,24.5,,-49.671408,-28.649798
Trichothraupis_melanops,2005,,25,,-47.453913,-23.907938
Trichothraupis_melanops,2017,80,,,-47.245302,-24.06865
Trichothraupis_melanops,2006,,23.5,,-47.449187,-23.854583
Trichothraupis_melanops,2015,85,20,,-46.340917,-23.855861
Trichothraupis_melanops,2000,,27,7.5,-48.416666,-24.316666
Trichothraupis_melanops,2000,,24,7,-48.416666,-24.316666
Trichothraupis_melanops,2015,,23.5,,-47.245302,-24.06865
Trichothraupis_melanops,2006,,24,,-47.469706,-23.918526
Trichothraupis_melanops,1996,85,24.5,6.9,-44.204194,-23.183073
Trichothraupis_melanops,1996,87,22.5,,-44.202778,-23.175
Trichothraupis_melanops,2001,81.4,24,9.6,-48.810668,-27.73223
Trichothraupis_melanops,2001,81.3,26,9.2,-48.810668,-27.73223
Trichothraupis_melanops,2000,81,24,10,-46.971111,-23.666389
Trichothraupis_melanops,2011,80,22,5.6,-42.047183,-22.421778
Trichothraupis_melanops,2002,81.3,25,,-48.541493,-25.587558
Trichothraupis_melanops,2001,,27,,-48.416666,-24.316666
Trichothraupis_melanops,2000,80,25,,-46.971111,-23.666389
Trichothraupis_melanops,2015,83,23,,-47.198404,-24.045634
Trichothraupis_melanops,1999,80,25,,-47.841667,-21.971667
Trichothraupis_melanops,1999,83,22,,-47.841667,-21.971667
Trichothraupis_melanops,2000,82,22,,-46.971111,-23.666389
Trichothraupis_melanops,2013,78,17.5,7.7,-41.74221111,-20.49504444
Trichothraupis_melanops,2011,84.5,27,,-48.541493,-25.587558
Trichothraupis_melanops,2000,,23,8.5,-48.416666,-24.316666
Trichothraupis_melanops,2006,,24,,-47.446516,-23.833638
Trichothraupis_melanops,2005,,24,,-47.453913,-23.907938
Trichothraupis_melanops,2015,,,,-48.981171,-25.49618
Trichothraupis_melanops,2015,74,,,-47.245302,-24.06865
Trichothraupis_melanops,2000,,22.5,,-48.416666,-24.316666
Trichothraupis_melanops,1999,79,22,,-47.841667,-21.971667
Trichothraupis_melanops,2010,82,19,10.6,-44.607931,-22.452726
Trichothraupis_melanops,2005,89,22,,-45.982,-23.633
Trichothraupis_melanops,2001,,22,8.8,-48.40777778,-24.278333
Trichothraupis_melanops,2012,81.3,26,,-48.541493,-25.587558
Trichothraupis_melanops,2000,,22.5,6,-48.416666,-24.316666
Trichothraupis_melanops,2007,,22,,-47.46575,-23.903054
Trichothraupis_melanops,2006,83,24,,-47.81,-23.95
Trichothraupis_melanops,1999,,23.5,,-48.364722,-24.304722
Trichothraupis_melanops,2017,80,27,7,-49.398056,-22.530694
Trichothraupis_melanops,2013,76.5,20,,-54.487792,-25.619635
