Binomial,Year,cwl,Bill_width.mm.,Longitude_decimal_degrees,Latitude_decimal_degrees
Trichothraupis_melanops,2006,,,-47.480381,-23.876407
Trichothraupis_melanops,1999,,,-48.364722,-24.304722
Trichothraupis_melanops,2005,,,-47.480162,-23.913781
Trichothraupis_melanops,2016,81,,-49.672487,-22.37698
Trichothraupis_melanops,2001,,,-48.40777778,-24.278333
Trichothraupis_melanops,1999,,,-48.364722,-24.304722
Trichothraupis_melanops,2006,84,,-48.46,-23.29
Trichothraupis_melanops,2006,,,-47.460382,-23.851281
Trichothraupis_melanops,2016,90,,-49.672487,-22.37698
Trichothraupis_melanops,2016,80,,-49.672487,-22.37698
Trichothraupis_melanops,2013,82,9.65,-47.949986,-24.16386
Trichothraupis_melanops,2006,,,-47.469706,-23.918526
Trichothraupis_melanops,2011,83.6,,-48.541493,-25.587558
Trichothraupis_melanops,2015,78,,-46.340917,-23.855861
Trichothraupis_melanops,2016,83,7.2,-49.076722,-22.775
Trichothraupis_melanops,2017,79.65,,-48.675863,-25.301518
Trichothraupis_melanops,2017,78.4,,-48.673631,-25.304749
Trichothraupis_melanops,2006,,,-47.446516,-23.833638
Trichothraupis_melanops,2015,71,,-47.198404,-24.045634
Trichothraupis_melanops,1999,,,-48.364722,-24.304722
Trichothraupis_melanops,2001,88.6,8.5,-48.810668,-27.73223
Trichothraupis_melanops,2015,87,,-47.198404,-24.045634
Trichothraupis_melanops,2009,85,,-48.433333,-23.266667
Trichothraupis_melanops,2015,82.64,,-48.981171,-25.49618
Trichothraupis_melanops,2012,80,9.5,-50.6967,-24.1431
Trichothraupis_melanops,2006,79,,-45.982,-23.633
Trichothraupis_melanops,2017,,,-47.245302,-24.06865
Trichothraupis_melanops,2013,89,,-48.884167,-26.002222
Trichothraupis_melanops,2015,80,,-46.369417,-23.842417
Trichothraupis_melanops,2013,79,9.5,-47.949986,-24.16386
Trichothraupis_melanops,2006,,,-47.460382,-23.851281
Trichothraupis_melanops,1993,,,-49.6042,-28.6838
Trichothraupis_melanops,2017,75.25,,-48.68104,-25.301984
Trichothraupis_melanops,2006,,,-47.396673,-23.947513
Trichothraupis_melanops,2013,86,10.25,-47.949986,-24.16386
Trichothraupis_melanops,2001,,8.5,-48.40777778,-24.278333
Trichothraupis_melanops,2006,76.5,,-48.541493,-25.587558
Trichothraupis_melanops,2002,88,10.7,-42.38333,-22.5
Trichothraupis_melanops,2016,80.1,,-54.487792,-25.619635
Trichothraupis_melanops,2017,78,,-48.673631,-25.304749
Trichothraupis_melanops,2010,78,7.35,-46.666667,-23.4
Trichothraupis_melanops,2005,,,-47.449741,-23.843869
Trichothraupis_melanops,2006,,,-47.490814,-23.873765
Trichothraupis_melanops,2012,81.4,,-48.541493,-25.587558
Trichothraupis_melanops,2002,85,11.6,-42.38333,-22.5
Trichothraupis_melanops,2001,79,10.8,-42.38333,-22.5
Trichothraupis_melanops,2005,,,-47.452334,-23.920014
Trichothraupis_melanops,2013,87,,-49.671408,-28.649798
Trichothraupis_melanops,2005,,,-47.410015,-23.951935
Trichothraupis_melanops,2002,82,9.2,-42.38333,-22.5
Trichothraupis_melanops,2006,,,-47.471961,-23.867741
Trichothraupis_melanops,2017,80.25,,-48.673631,-25.304749
Trichothraupis_melanops,2000,,7.8,-48.416666,-24.316666
Trichothraupis_melanops,2003,78,,-48.541493,-25.587558
Trichothraupis_melanops,2008,,,-43.4381,-20.2067
Trichothraupis_melanops,2008,,,-43.4381,-20.2067
Trichothraupis_melanops,2006,85,,-48.46,-23.29
Trichothraupis_melanops,1999,,,-48.364722,-24.304722
Trichothraupis_melanops,2017,77.7,,-48.68104,-25.301984
Trichothraupis_melanops,2012,79,10,-50.6967,-24.1431
Trichothraupis_melanops,2017,81,8,-49.398056,-22.530694
Trichothraupis_melanops,2017,73.5,,-48.675863,-25.301518
Trichothraupis_melanops,2004,83.5,,-48.541493,-25.587558
Trichothraupis_melanops,2010,88,,-48.433333,-23.266667
Trichothraupis_melanops,2017,75.45,,-48.673631,-25.304749
Trichothraupis_melanops,2008,84.3,,-48.541493,-25.587558
Trichothraupis_melanops,2007,,,-47.478972,-23.893093
Trichothraupis_melanops,2006,,,-47.446516,-23.833638
Trichothraupis_melanops,2017,81.6,,-48.673631,-25.304749
Trichothraupis_melanops,1996,85,6.1,-44.204194,-23.183073
Trichothraupis_melanops,2005,,,-47.452334,-23.920014
Trichothraupis_melanops,2006,77,,-47.684,-23.915
Trichothraupis_melanops,2005,84.9,,-46.400954,-23.843052
Trichothraupis_melanops,2006,,,-47.490814,-23.873765
Trichothraupis_melanops,2008,84,4.96,-48.054843,-20.091019
Trichothraupis_melanops,1999,83,,-47.841667,-21.971667
Trichothraupis_melanops,2013,76.9,,-54.487792,-25.619635
Trichothraupis_melanops,2008,77,5.77,-48.054843,-20.091019
Trichothraupis_melanops,2007,,,-47.453913,-23.907938
Trichothraupis_melanops,2007,82,5.66,-48.054843,-20.091019
Trichothraupis_melanops,2012,81,,-49.405145,-28.599546
Trichothraupis_melanops,2012,84,,-49.405145,-28.599546
Trichothraupis_melanops,2013,82,,-49.405145,-28.599546
Trichothraupis_melanops,2012,79.1,,-48.541493,-25.587558
Trichothraupis_melanops,2011,81.5,,-46.016667,-23.033333
Trichothraupis_melanops,2009,88,5.3,-48.054843,-20.091019
Trichothraupis_melanops,2006,,,-47.452334,-23.920014
Trichothraupis_melanops,2010,88,,-46.016667,-23.033333
Trichothraupis_melanops,2002,82.6,,-48.541493,-25.587558
Trichothraupis_melanops,2009,86,10,-49.25,-27.116667
Trichothraupis_melanops,2005,79.7,,-46.400954,-23.843052
Trichothraupis_melanops,2008,78,5.89,-48.054843,-20.091019
Trichothraupis_melanops,2016,86,,-49.672487,-22.37698
Trichothraupis_melanops,2001,82.3,9,-48.812205,-27.768275
Trichothraupis_melanops,2006,83,,-45.982,-23.633
Trichothraupis_melanops,2007,82,6.4,-44.202778,-23.175
Trichothraupis_melanops,2005,,,-47.446516,-23.833638
Trichothraupis_melanops,2003,76,8.7,-42.38333,-22.5
Trichothraupis_melanops,2014,85,,-49.671408,-28.649798
Trichothraupis_melanops,1999,,,-48.364722,-24.304722
