ID_ABT,Binomial,Family,Sex,Year,month,season,cwl,wing_col,Bill_width.mm.,Body_mass.g.,Main_researcher,Municipality,Locality,Longitude_decimal_degrees,Latitude_decimal_degrees,Altitude,Molt,Ring
PA0715,Haplospiza_unicolor,Thraupidae,Male,2006,5,MAM,64,right,,17,P.Antas,Pilar do Sul,Fazenda Vitoria,-47.684,-23.915,907,no,E69488
EH0570,Haplospiza_unicolor,Thraupidae,Female,2000,9,SON,,,6,15,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,D43048
EH0062,Haplospiza_unicolor,Thraupidae,Female,2000,1,DJF,,,5.8,16.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,E34278
CB2047,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,,,,15,C.Banks-Leite,Piedade,,-47.478972,-23.893093,912,,E72799
CA0116,Haplospiza_unicolor,Thraupidae,Male,2014,3,MAM,62,generic,10.7,16,C.Ferreira,Alto Caparaó,Parque Nacional do Caparaó,-41.84374722,-20.41793889,1522,no,D79978
JN0051,Haplospiza_unicolor,Thraupidae,Female,2013,5,MAM,64,generic,,16,J.Zocche,Nova Veneza,Cubico  Vila Maria proximidades da REBIO do Aguaí,-49.671408,-28.649798,645,no,D126208
EH1111,Haplospiza_unicolor,Thraupidae,Male,2001,3,MAM,,,6,17,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,
VC1881,Haplospiza_unicolor,Thraupidae,Male,2010,10,SON,66,right,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E104710
EH0465,Haplospiza_unicolor,Thraupidae,Male,1999,8,JJA,,,,15,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33339
PA0727,Haplospiza_unicolor,Thraupidae,Male,2006,5,MAM,66,right,,14,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E69499
EH0049,Haplospiza_unicolor,Thraupidae,Female,2000,3,MAM,,,5,13,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D44754
VC0964,Haplospiza_unicolor,Thraupidae,Female,2010,4,MAM,61,right,,16,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,Yes,
EH0046,Haplospiza_unicolor,Thraupidae,Female,1999,12,DJF,,,6,15,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33392
VC0813,Haplospiza_unicolor,Thraupidae,Male,2010,4,MAM,63,right,,15,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,Yes,
AR0033,Haplospiza_unicolor,Thraupidae,Male,2014,11,SON,63,right,,16,A.Ross,Urubici,Vacas Gordas Campos de Santa Barbara Parque Nacional de São Joaquim,-49.636667,-28.160833,1527,no,D147813
CF0805,Haplospiza_unicolor,Thraupidae,Female,2017,6,JJA,50,right,,15.5,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.178935,-29.482103,625,Yes,D77016
CF0799,Haplospiza_unicolor,Thraupidae,Male,2017,6,JJA,52.5,right,,16.5,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.186006,-29.499814,747,no,D77009
PC0407,Haplospiza_unicolor,Thraupidae,Male,2012,12,DJF,64,right,6.9,14,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,D64423
EH0586,Haplospiza_unicolor,Thraupidae,Female,2001,3,MAM,,,6.7,18,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,
PC0483,Haplospiza_unicolor,Thraupidae,Male,2013,1,DJF,60,right,6.5,14,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,D82711
PA0672,Haplospiza_unicolor,Thraupidae,Female,2006,3,MAM,63,right,,14,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E67999
EH0478,Haplospiza_unicolor,Thraupidae,Male,1999,12,DJF,,,5,15,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33388
VC1773,Haplospiza_unicolor,Thraupidae,Female,2010,10,SON,64,right,,,V.Cavarzere,Bofete,Fazenda Entre Rios,-48.433333,-23.266667,611,no,E104691
PC0642,Haplospiza_unicolor,Thraupidae,Male,2013,4,MAM,66,right,6.7,14.5,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,D82733
PA0703,Haplospiza_unicolor,Thraupidae,Female,2006,4,MAM,65,right,,15,P.Antas,Pilar do Sul,Fazenda Vitoria,-47.684,-23.915,907,no,E69477
VC0639,Haplospiza_unicolor,Thraupidae,Male,2010,2,DJF,,,,14,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98634
VC0620,Haplospiza_unicolor,Thraupidae,Male,2010,2,DJF,62,right,,15,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98678
EH0029,Haplospiza_unicolor,Thraupidae,Female,1999,9,SON,,,,14.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33350
WS0302,Haplospiza_unicolor,Thraupidae,Male,2013,4,MAM,65,generic,,14,G.Wilrich;E.Silva,Campo Belo do Sul,Gateados 2,-50.851889,-28.031444,831,,D121852
VC1913,Haplospiza_unicolor,Thraupidae,Female,2010,10,SON,63,right,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E104721
VC0893,Haplospiza_unicolor,Thraupidae,Male,2010,4,MAM,62,right,,16,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
VC0619,Haplospiza_unicolor,Thraupidae,Male,2010,2,DJF,,,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98634
EH1107,Haplospiza_unicolor,Thraupidae,Male,2001,3,MAM,,,,15,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,
JN0198,Haplospiza_unicolor,Thraupidae,Male,2013,11,SON,63,generic,,15,J.Zocche,Nova Veneza,Cubico  Vila Maria proximidades da REBIO do Aguaí,-49.671408,-28.649798,645,no,D126332
EC1675,Haplospiza_unicolor,Thraupidae,Male,2003,1,DJF,61.5,right,,16,E.Carrano,Araucária,Refinaria Presidente Getúlio Vargas,-49.348803,-25.589976,914,no,E 46741
PA0809,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,64,right,,13.5,P.Antas,Pilar do Sul,Fazenda Vitoria,-47.684,-23.915,907,no,E69578
AR0180,Haplospiza_unicolor,Thraupidae,Female,2015,4,MAM,60,right,,16,A.Ross,Urubici,Vacas Gordas Campos de Santa Barbara Parque Nacional de São Joaquim,-49.636667,-28.160833,1527,,E163215
EH1099,Haplospiza_unicolor,Thraupidae,Male,2000,9,SON,,,5,17.5,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,D43059
WS0283,Haplospiza_unicolor,Thraupidae,Male,2013,3,MAM,66,generic,,15,G.Wilrich;E.Silva,Campo Belo do Sul,Gateados 2,-50.851889,-28.031444,831,,E133926
PA0037,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,62,right,,16,P.Antas,Itatinga,Fazenda Entrerrios,-48.46,-23.29,615,,
PA0808,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,64,right,,16,P.Antas,Pilar do Sul,Fazenda Vitoria,-47.684,-23.915,907,no,E69577
VC0658,Haplospiza_unicolor,Thraupidae,Female,2010,2,DJF,59.5,right,,8,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98686
EH1101,Haplospiza_unicolor,Thraupidae,Male,2000,12,DJF,,,7,15,E.Hasui,Iporanga,Parque Estadual Intervales Carmo,-48.416666,-24.316666,910,,D43075
PA0539,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,65,right,,17,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E54036
CB2428,Haplospiza_unicolor,Thraupidae,Female,2007,1,DJF,,,,15,C.Banks-Leite,Piedade,,-47.436016,-23.880844,914,,E72842
WS0079,Haplospiza_unicolor,Thraupidae,Male,2012,9,SON,67,generic,,15,G.Wilrich;E.Silva,Campo Belo do Sul,Gateados 1,-50.901139,-28.007167,911,,D121791
CB2043,Haplospiza_unicolor,Thraupidae,Male,2006,8,JJA,,,,15.5,C.Banks-Leite,Piedade,,-47.478972,-23.893093,912,,E72795
EC3126,Haplospiza_unicolor,Thraupidae,Male,2006,6,JJA,63.7,right,,19,E.Carrano,Paranaguá,Parque Estadual do Palmito,-48.541493,-25.587558,57,no,D 78499
EH0469,Haplospiza_unicolor,Thraupidae,Male,1999,12,DJF,,,4.9,13.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33368
MV0608,Haplospiza_unicolor,Thraupidae,Male,2013,10,SON,62,generic,7.6,18,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,,D128344
CB2055,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,,,,16,C.Banks-Leite,Piedade,,-47.460399,-23.88904,912,,E72892
EH0055,Haplospiza_unicolor,Thraupidae,Female,2000,1,DJF,,,4.8,14,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,E34272
